Comment_volume,Question_en,Difficulty,Description,No_thumb,Img_link,No_pass,Relevant_tag,Similar_q_link,No_handover
评论 (1.6k),invert-binary-tree,简单,"给你一棵二叉树的根节点 root ，翻转这棵二叉树，并返回其根节点。
  示例 1：
输入：root = [4,2,7,1,3,6,9]
输出：[4,7,2,9,6,3,1]
示例 2：
输入：root = [2,1,3]
输出：[2,3,1]
示例 3：
输入：root = []
输出：[]
  提示：
树中节点数目范围在 [0, 100] 内
-100 <= Node.val <= 100",1295,,460014,"['https://leetcode.cn/tag/tree/', 'https://leetcode.cn/tag/depth-first-search/', 'https://leetcode.cn/tag/breadth-first-search/', 'https://leetcode.cn/tag/binary-tree/']",[],581218
评论 (623),basic-calculator-ii,中等,"给你一个字符串表达式 s ，请你实现一个基本计算器来计算并返回它的值。
整数除法仅保留整数部分。
你可以假设给定的表达式总是有效的。所有中间结果将在 [-231, 231 - 1] 的范围内。
注意：不允许使用任何将字符串作为数学表达式计算的内置函数，比如 eval() 。
  示例 1：
输入：s = ""3+2*2""
输出：7
示例 2：
输入：s = "" 3/2 ""
输出：1
示例 3：
输入：s = "" 3+5 / 2 ""
输出：5
  提示：
1 <= s.length <= 3 * 105
s 由整数和算符 ('+', '-', '*', '/') 组成，中间由一些空格隔开
s 表示一个 有效表达式
表达式中的所有整数都是非负整数，且在范围 [0, 231 - 1] 内
题目数据保证答案是一个 32-bit 整数",572,,113354,"['https://leetcode.cn/tag/stack/', 'https://leetcode.cn/tag/math/', 'https://leetcode.cn/tag/string/']","['https://leetcode.cn/problems/basic-calculator/', 'https://leetcode.cn/problems/expression-add-operators/', 'https://leetcode.cn/problems/basic-calculator-iii/']",257679
评论 (595),summary-ranges,简单,"给定一个  无重复元素 的 有序 整数数组 nums 。
返回 恰好覆盖数组中所有数字 的 最小有序 区间范围列表 。也就是说，nums 的每个元素都恰好被某个区间范围所覆盖，并且不存在属于某个范围但不属于 nums 的数字 x 。
列表中的每个区间范围 [a,b] 应该按如下格式输出：
""a->b"" ，如果 a != b
""a"" ，如果 a == b
  示例 1：
输入：nums = [0,1,2,4,5,7]
输出：[""0->2"",""4->5"",""7""]
解释：区间范围是：
[0,2] --> ""0->2""
[4,5] --> ""4->5""
[7,7] --> ""7""
示例 2：
输入：nums = [0,2,3,4,6,8,9]
输出：[""0"",""2->4"",""6"",""8->9""]
解释：区间范围是：
[0,0] --> ""0""
[2,4] --> ""2->4""
[6,6] --> ""6""
[8,9] --> ""8->9""
  提示：
0 <= nums.length <= 20
-231 <= nums[i] <= 231 - 1
nums 中的所有值都 互不相同
nums 按升序排列",214,,72059,['https://leetcode.cn/tag/array/'],"['https://leetcode.cn/problems/missing-ranges/', 'https://leetcode.cn/problems/data-stream-as-disjoint-intervals/']",127199
评论 (445),majority-element-ii,中等,"给定一个大小为 n 的整数数组，找出其中所有出现超过 ⌊ n/3 ⌋ 次的元素。
  示例 1：
输入：nums = [3,2,3]
输出：[3]
示例 2：
输入：nums = [1]
输出：[1]
示例 3：
输入：nums = [1,2]
输出：[1,2]
  提示：
1 <= nums.length <= 5 * 104
-109 <= nums[i] <= 109
  进阶：尝试设计时间复杂度为 O(n)、空间复杂度为 O(1)的算法解决此问题。",589,,80418,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/hash-table/', 'https://leetcode.cn/tag/counting/', 'https://leetcode.cn/tag/sorting/']","['https://leetcode.cn/problems/majority-element/', 'https://leetcode.cn/problems/check-if-a-number-is-majority-element-in-a-sorted-array/']",150144
评论 (893),kth-smallest-element-in-a-bst,中等,"给定一个二叉搜索树的根节点 root ，和一个整数 k ，请你设计一个算法查找其中第 k 个最小元素（从 1 开始计数）。
  示例 1：
输入：root = [3,1,4,null,2], k = 1
输出：1
示例 2：
输入：root = [5,3,6,2,4,null,null,1], k = 3
输出：3
    提示：
树中的节点数为 n 。
1 <= k <= n <= 104
0 <= Node.val <= 104
  进阶：如果二叉搜索树经常被修改（插入/删除操作）并且你需要频繁地查找第 k 小的值，你将如何优化算法？",624,https://assets.leetcode.com/uploads/2021/01/28/kthtree1.jpg,210161,"['https://leetcode.cn/tag/tree/', 'https://leetcode.cn/tag/depth-first-search/', 'https://leetcode.cn/tag/binary-search-tree/', 'https://leetcode.cn/tag/binary-tree/']","['https://leetcode.cn/problems/binary-tree-inorder-traversal/', 'https://leetcode.cn/problems/second-minimum-node-in-a-binary-tree/']",278705
评论 (1.4k),power-of-two,简单,"给你一个整数 n，请你判断该整数是否是 2 的幂次方。如果是，返回 true ；否则，返回 false 。
如果存在一个整数 x 使得 n == 2x ，则认为 n 是 2 的幂次方。
  示例 1：
输入：n = 1
输出：true
解释：20 = 1
示例 2：
输入：n = 16
输出：true
解释：24 = 16
示例 3：
输入：n = 3
输出：false
示例 4：
输入：n = 4
输出：true
示例 5：
输入：n = 5
输出：false
  提示：
-231 <= n <= 231 - 1
  进阶：你能够不使用循环/递归解决此问题吗？",499,,227287,"['https://leetcode.cn/tag/bit-manipulation/', 'https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/math/']","['https://leetcode.cn/problems/number-of-1-bits/', 'https://leetcode.cn/problems/power-of-three/', 'https://leetcode.cn/problems/power-of-four/']",450547
评论 (862),implement-queue-using-stacks,简单,"请你仅使用两个栈实现先入先出队列。队列应当支持一般队列支持的所有操作（push、pop、peek、empty）：
实现 MyQueue 类：
void push(int x) 将元素 x 推到队列的末尾
int pop() 从队列的开头移除并返回元素
int peek() 返回队列开头的元素
boolean empty() 如果队列为空，返回 true ；否则，返回 false
说明：
你 只能 使用标准的栈操作 —— 也就是只有 push to top, peek/pop from top, size, 和 is empty 操作是合法的。
你所使用的语言也许不支持栈。你可以使用 list 或者 deque（双端队列）来模拟一个栈，只要是标准的栈操作即可。
  示例 1：
输入：
[""MyQueue"", ""push"", ""push"", ""peek"", ""pop"", ""empty""]
[[], [1], [2], [], [], []]
输出：
[null, null, null, 1, 1, false]

解释：
MyQueue myQueue = new MyQueue();
myQueue.push(1); // queue is: [1]
myQueue.push(2); // queue is: [1, 2] (leftmost is front of the queue)
myQueue.peek(); // return 1
myQueue.pop(); // return 1, queue is [2]
myQueue.empty(); // return false
  提示：
1 <= x <= 9
最多调用 100 次 push、pop、peek 和 empty
假设所有操作都是有效的 （例如，一个空的队列不会调用 pop 或者 peek 操作）
  进阶：
你能否实现每个操作均摊时间复杂度为 O(1) 的队列？换句话说，执行 n 个操作的总时间复杂度为 O(n) ，即使其中一个操作可能花费较长时间。",658,,241875,"['https://leetcode.cn/tag/stack/', 'https://leetcode.cn/tag/design/', 'https://leetcode.cn/tag/queue/']",['https://leetcode.cn/problems/implement-stack-using-queues/'],351657
评论 (398),number-of-digit-one,困难,"给定一个整数 n，计算所有小于等于 n 的非负整数中数字 1 出现的个数。
  示例 1：
输入：n = 13
输出：6
示例 2：
输入：n = 0
输出：0
  提示：
0 <= n <= 109",421,,42135,"['https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/math/', 'https://leetcode.cn/tag/dynamic-programming/']","['https://leetcode.cn/problems/factorial-trailing-zeroes/', 'https://leetcode.cn/problems/digit-count-in-range/']",87333
评论 (1.9k),palindrome-linked-list,简单,"给你一个单链表的头节点 head ，请你判断该链表是否为回文链表。如果是，返回 true ；否则，返回 false 。
  示例 1：
输入：head = [1,2,2,1]
输出：true
示例 2：
输入：head = [1,2]
输出：false
  提示：
链表中节点数目在范围[1, 105] 内
0 <= Node.val <= 9
  进阶：你能否用 O(n) 时间复杂度和 O(1) 空间复杂度解决此题？",1397,https://assets.leetcode.com/uploads/2021/03/03/pal1linked-list.jpg,439815,"['https://leetcode.cn/tag/stack/', 'https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/linked-list/', 'https://leetcode.cn/tag/two-pointers/']","['https://leetcode.cn/problems/palindrome-number/', 'https://leetcode.cn/problems/valid-palindrome/', 'https://leetcode.cn/problems/reverse-linked-list/']",851674
评论 (877),lowest-common-ancestor-of-a-binary-search-tree,简单,"给定一个二叉搜索树, 找到该树中两个指定节点的最近公共祖先。
百度百科中最近公共祖先的定义为：“对于有根树 T 的两个结点 p、q，最近公共祖先表示为一个结点 x，满足 x 是 p、q 的祖先且 x 的深度尽可能大（一个节点也可以是它自己的祖先）。”
例如，给定如下二叉搜索树:  root = [6,2,8,0,4,7,9,null,null,3,5]
  示例 1:
输入: root = [6,2,8,0,4,7,9,null,null,3,5], p = 2, q = 8
输出: 6 
解释: 节点 2 和节点 8 的最近公共祖先是 6。
示例 2:
输入: root = [6,2,8,0,4,7,9,null,null,3,5], p = 2, q = 4
输出: 2
解释: 节点 2 和节点 4 的最近公共祖先是 2, 因为根据定义最近公共祖先节点可以为节点本身。
  说明:
所有节点的值都是唯一的。
p、q 为不同节点且均存在于给定的二叉搜索树中。",840,,241472,"['https://leetcode.cn/tag/tree/', 'https://leetcode.cn/tag/depth-first-search/', 'https://leetcode.cn/tag/binary-search-tree/', 'https://leetcode.cn/tag/binary-tree/']","['https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/', 'https://leetcode.cn/problems/smallest-common-region/']",358633
评论 (1.1k),lowest-common-ancestor-of-a-binary-tree,中等,"给定一个二叉树, 找到该树中两个指定节点的最近公共祖先。
百度百科中最近公共祖先的定义为：“对于有根树 T 的两个节点 p、q，最近公共祖先表示为一个节点 x，满足 x 是 p、q 的祖先且 x 的深度尽可能大（一个节点也可以是它自己的祖先）。”
  示例 1：
输入：root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1
输出：3
解释：节点 5 和节点 1 的最近公共祖先是节点 3 。
示例 2：
输入：root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 4
输出：5
解释：节点 5 和节点 4 的最近公共祖先是节点 5 。因为根据定义最近公共祖先节点可以为节点本身。
示例 3：
输入：root = [1,2], p = 1, q = 2
输出：1
  提示：
树中节点数目在范围 [2, 105] 内。
-109 <= Node.val <= 109
所有 Node.val 互不相同 。
p != q
p 和 q 均存在于给定的二叉树中。",1756,https://assets.leetcode.com/uploads/2018/12/14/binarytree.png,382588,"['https://leetcode.cn/tag/tree/', 'https://leetcode.cn/tag/depth-first-search/', 'https://leetcode.cn/tag/binary-tree/']","['https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-search-tree/', 'https://leetcode.cn/problems/smallest-common-region/']",554311
评论 (1.5k),delete-node-in-a-linked-list,简单,"请编写一个函数，用于 删除单链表中某个特定节点 。在设计函数时需要注意，你无法访问链表的头节点 head ，只能直接访问 要被删除的节点 。
题目数据保证需要删除的节点 不是末尾节点 。
  示例 1：
输入：head = [4,5,1,9], node = 5
输出：[4,1,9]
解释：指定链表中值为 5 的第二个节点，那么在调用了你的函数之后，该链表应变为 4 -> 1 -> 9
示例 2：
输入：head = [4,5,1,9], node = 1
输出：[4,5,9]
解释：指定链表中值为 1 的第三个节点，那么在调用了你的函数之后，该链表应变为 4 -> 5 -> 9
  提示：
链表中节点的数目范围是 [2, 1000]
-1000 <= Node.val <= 1000
链表中每个节点的值都是 唯一 的
需要删除的节点 node 是 链表中的节点 ，且 不是末尾节点",1149,https://assets.leetcode.com/uploads/2020/09/01/node1.jpg,291710,['https://leetcode.cn/tag/linked-list/'],['https://leetcode.cn/problems/remove-linked-list-elements/'],339693
评论 (750),product-of-array-except-self,中等,"给你一个整数数组 nums，返回 数组 answer ，其中 answer[i] 等于 nums 中除 nums[i] 之外其余各元素的乘积 。
题目数据 保证 数组 nums之中任意元素的全部前缀元素和后缀的乘积都在  32 位 整数范围内。
请不要使用除法，且在 O(n) 时间复杂度内完成此题。
  示例 1:
输入: nums = [1,2,3,4]
输出: [24,12,8,6]
示例 2:
输入: nums = [-1,1,0,-3,3]
输出: [0,0,9,0,0]
  提示：
2 <= nums.length <= 105
-30 <= nums[i] <= 30
保证 数组 nums之中任意元素的全部前缀元素和后缀的乘积都在  32 位 整数范围内
  进阶：你可以在 O(1) 的额外空间复杂度内完成这个题目吗？（ 出于对空间复杂度分析的目的，输出数组不被视为额外空间。）",1160,,192569,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/prefix-sum/']","['https://leetcode.cn/problems/trapping-rain-water/', 'https://leetcode.cn/problems/maximum-product-subarray/', 'https://leetcode.cn/problems/paint-house-ii/']",261907
评论 (1.1k),sliding-window-maximum,困难,"给你一个整数数组 nums，有一个大小为 k 的滑动窗口从数组的最左侧移动到数组的最右侧。你只可以看到在滑动窗口内的 k 个数字。滑动窗口每次只向右移动一位。
返回 滑动窗口中的最大值 。
  示例 1：
输入：nums = [1,3,-1,-3,5,3,6,7], k = 3
输出：[3,3,5,5,6,7]
解释：
滑动窗口的位置                最大值
---------------               -----
[1  3  -1] -3  5  3  6  7       3
 1 [3  -1  -3] 5  3  6  7       3
 1  3 [-1  -3  5] 3  6  7       5
 1  3  -1 [-3  5  3] 6  7       5
 1  3  -1  -3 [5  3  6] 7       6
 1  3  -1  -3  5 [3  6  7]      7
示例 2：
输入：nums = [1], k = 1
输出：[1]
  提示：
1 <= nums.length <= 105
-104 <= nums[i] <= 104
1 <= k <= nums.length",1638,,295961,"['https://leetcode.cn/tag/queue/', 'https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/sliding-window/', 'https://leetcode.cn/tag/monotonic-queue/', 'https://leetcode.cn/tag/heap-priority-queue/']","['https://leetcode.cn/problems/minimum-window-substring/', 'https://leetcode.cn/problems/min-stack/', 'https://leetcode.cn/problems/longest-substring-with-at-most-two-distinct-characters/', 'https://leetcode.cn/problems/paint-house-ii/']",592658
评论 (775),search-a-2d-matrix-ii,中等,"编写一个高效的算法来搜索 m x n 矩阵 matrix 中的一个目标值 target 。该矩阵具有以下特性：
每行的元素从左到右升序排列。
每列的元素从上到下升序排列。
  示例 1：
输入：matrix = [[1,4,7,11,15],[2,5,8,12,19],[3,6,9,16,22],[10,13,14,17,24],[18,21,23,26,30]], target = 5
输出：true
示例 2：
输入：matrix = [[1,4,7,11,15],[2,5,8,12,19],[3,6,9,16,22],[10,13,14,17,24],[18,21,23,26,30]], target = 20
输出：false
  提示：
m == matrix.length
n == matrix[i].length
1 <= n, m <= 300
-109 <= matrix[i][j] <= 109
每行的所有元素从左到右升序排列
每列的所有元素从上到下升序排列
-109 <= target <= 109",1030,https://assets.leetcode-cn.com/aliyun-lc-upload/uploads/2020/11/25/searchgrid2.jpg,274592,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/binary-search/', 'https://leetcode.cn/tag/divide-and-conquer/', 'https://leetcode.cn/tag/matrix/']",['https://leetcode.cn/problems/search-a-2d-matrix/'],536108
评论 (243),different-ways-to-add-parentheses,中等,"给你一个由数字和运算符组成的字符串 expression ，按不同优先级组合数字和运算符，计算并返回所有可能组合的结果。你可以 按任意顺序 返回答案。
  示例 1：
输入：expression = ""2-1-1""
输出：[0,2]
解释：
((2-1)-1) = 0 
(2-(1-1)) = 2
示例 2：
输入：expression = ""2*3-4*5""
输出：[-34,-14,-10,-10,10]
解释：
(2*(3-(4*5))) = -34 
((2*3)-(4*5)) = -14 
((2*(3-4))*5) = -10 
(2*((3-4)*5)) = -10 
(((2*3)-4)*5) = 10
  提示：
1 <= expression.length <= 20
expression 由数字和算符 '+'、'-' 和 '*' 组成。
输入表达式中的所有整数值在范围 [0, 99] ",569,,43733,"['https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/memoization/', 'https://leetcode.cn/tag/math/', 'https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/dynamic-programming/']","['https://leetcode.cn/problems/unique-binary-search-trees-ii/', 'https://leetcode.cn/problems/basic-calculator/', 'https://leetcode.cn/problems/expression-add-operators/']",59429
评论 (1.4k),valid-anagram,简单,"给定两个字符串 s 和 t ，编写一个函数来判断 t 是否是 s 的字母异位词。
注意：若 s 和 t 中每个字符出现的次数都相同，则称 s 和 t 互为字母异位词。
  示例 1:
输入: s = ""anagram"", t = ""nagaram""
输出: true
示例 2:
输入: s = ""rat"", t = ""car""
输出: false
  提示:
1 <= s.length, t.length <= 5 * 104
s 和 t 仅包含小写字母
  进阶: 如果输入字符串包含 unicode 字符怎么办？你能否调整你的解法来应对这种情况？",589,,423315,"['https://leetcode.cn/tag/hash-table/', 'https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/sorting/']","['https://leetcode.cn/problems/group-anagrams/', 'https://leetcode.cn/problems/palindrome-permutation/', 'https://leetcode.cn/problems/find-all-anagrams-in-a-string/']",647789
评论 (94),shortest-word-distance,Unknown,,-1,,-1,[],[],-1
评论 (42),shortest-word-distance-ii,Unknown,,-1,,-1,[],[],-1
评论 (36),shortest-word-distance-iii,Unknown,,-1,,-1,[],[],-1
评论 (98),strobogrammatic-number,Unknown,,-1,,-1,[],[],-1
评论 (71),strobogrammatic-number-ii,Unknown,,-1,,-1,[],[],-1
评论 (26),strobogrammatic-number-iii,Unknown,,-1,,-1,[],[],-1
评论 (72),group-shifted-strings,Unknown,,-1,,-1,[],[],-1
评论 (80),count-univalue-subtrees,Unknown,,-1,,-1,[],[],-1
评论 (320),remove-invalid-parentheses,困难,"给你一个由若干括号和字母组成的字符串 s ，删除最小数量的无效括号，使得输入的字符串有效。
返回所有可能的结果。答案可以按 任意顺序 返回。
  示例 1：
输入：s = ""()())()""
输出：[""(())()"",""()()()""]
示例 2：
输入：s = ""(a)())()""
输出：[""(a())()"",""(a)()()""]
示例 3：
输入：s = "")(""
输出：[""""]
  提示：
1 <= s.length <= 25
s 由小写英文字母以及括号 '(' 和 ')' 组成
s 中至多含 20 个括号",726,,69572,"['https://leetcode.cn/tag/breadth-first-search/', 'https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/backtracking/']",['https://leetcode.cn/problems/valid-parentheses/'],126376
评论 (31),smallest-rectangle-enclosing-black-pixels,Unknown,,-1,,-1,[],[],-1
评论 (803),range-sum-query-immutable,简单,"给定一个整数数组  nums，处理以下类型的多个查询:
计算索引 left 和 right （包含 left 和 right）之间的 nums 元素的 和 ，其中 left <= right
实现 NumArray 类：
NumArray(int[] nums) 使用数组 nums 初始化对象
int sumRange(int i, int j) 返回数组 nums 中索引 left 和 right 之间的元素的 总和 ，包含 left 和 right 两点（也就是 nums[left] + nums[left + 1] + ... + nums[right] )
  示例 1：
输入：
[""NumArray"", ""sumRange"", ""sumRange"", ""sumRange""]
[[[-2, 0, 3, -5, 2, -1]], [0, 2], [2, 5], [0, 5]]
输出：
[null, 1, -1, -3]

解释：
NumArray numArray = new NumArray([-2, 0, 3, -5, 2, -1]);
numArray.sumRange(0, 2); // return 1 ((-2) + 0 + 3)
numArray.sumRange(2, 5); // return -1 (3 + (-5) + 2 + (-1)) 
numArray.sumRange(0, 5); // return -3 ((-2) + 0 + 3 + (-5) + 2 + (-1))
  提示：
1 <= nums.length <= 104
-105 <= nums[i] <= 105
0 <= i <= j < nums.length
最多调用 104 次 sumRange 方法",460,,166992,"['https://leetcode.cn/tag/design/', 'https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/prefix-sum/']","['https://leetcode.cn/problems/range-sum-query-2d-immutable/', 'https://leetcode.cn/problems/range-sum-query-mutable/', 'https://leetcode.cn/problems/maximum-size-subarray-sum-equals-k/']",223039
评论 (632),range-sum-query-2d-immutable,中等,"给定一个二维矩阵 matrix，以下类型的多个请求：
计算其子矩形范围内元素的总和，该子矩阵的 左上角 为 (row1, col1) ，右下角 为 (row2, col2) 。
实现 NumMatrix 类：
NumMatrix(int[][] matrix) 给定整数矩阵 matrix 进行初始化
int sumRegion(int row1, int col1, int row2, int col2) 返回 左上角 (row1, col1) 、右下角 (row2, col2) 所描述的子矩阵的元素 总和 。
  示例 1：
输入: 
[""NumMatrix"",""sumRegion"",""sumRegion"",""sumRegion""]
[[[[3,0,1,4,2],[5,6,3,2,1],[1,2,0,1,5],[4,1,0,1,7],[1,0,3,0,5]]],[2,1,4,3],[1,1,2,2],[1,2,2,4]]
输出: 
[null, 8, 11, 12]

解释:
NumMatrix numMatrix = new NumMatrix([[3,0,1,4,2],[5,6,3,2,1],[1,2,0,1,5],[4,1,0,1,7],[1,0,3,0,5]]);
numMatrix.sumRegion(2, 1, 4, 3); // return 8 (红色矩形框的元素总和)
numMatrix.sumRegion(1, 1, 2, 2); // return 11 (绿色矩形框的元素总和)
numMatrix.sumRegion(1, 2, 2, 4); // return 12 (蓝色矩形框的元素总和)
  提示：
m == matrix.length
n == matrix[i].length
1 <= m, n <= 200
-105 <= matrix[i][j] <= 105
0 <= row1 <= row2 < m
0 <= col1 <= col2 < n
最多调用 104 次 sumRegion 方法",398,,92404,"['https://leetcode.cn/tag/design/', 'https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/matrix/', 'https://leetcode.cn/tag/prefix-sum/']","['https://leetcode.cn/problems/range-sum-query-immutable/', 'https://leetcode.cn/problems/range-sum-query-2d-mutable/']",156895
评论 (65),number-of-islands-ii,Unknown,,-1,,-1,[],[],-1
评论 (599),additive-number,中等,"累加数 是一个字符串，组成它的数字可以形成累加序列。
一个有效的 累加序列 必须 至少 包含 3 个数。除了最开始的两个数以外，序列中的每个后续数字必须是它之前两个数字之和。
给你一个只包含数字 '0'-'9' 的字符串，编写一个算法来判断给定输入是否是 累加数 。如果是，返回 true ；否则，返回 false 。
说明：累加序列里的数，除数字 0 之外，不会 以 0 开头，所以不会出现 1, 2, 03 或者 1, 02, 3 的情况。
  示例 1：
输入：""112358""
输出：true 
解释：累加序列为: 1, 1, 2, 3, 5, 8 。1 + 1 = 2, 1 + 2 = 3, 2 + 3 = 5, 3 + 5 = 8
示例 2：
输入：""199100199""
输出：true 
解释：累加序列为: 1, 99, 100, 199。1 + 99 = 100, 99 + 100 = 199
  提示：
1 <= num.length <= 35
num 仅由数字（0 - 9）组成
  进阶：你计划如何处理由过大的整数输入导致的溢出?",359,,42124,"['https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/backtracking/']",['https://leetcode.cn/problems/split-array-into-fibonacci-sequence/'],110142
评论 (418),range-sum-query-mutable,中等,"给你一个数组 nums ，请你完成两类查询。
其中一类查询要求 更新 数组 nums 下标对应的值
另一类查询要求返回数组 nums 中索引 left 和索引 right 之间（ 包含 ）的nums元素的 和 ，其中 left <= right
实现 NumArray 类：
NumArray(int[] nums) 用整数数组 nums 初始化对象
void update(int index, int val) 将 nums[index] 的值 更新 为 val
int sumRange(int left, int right) 返回数组 nums 中索引 left 和索引 right 之间（ 包含 ）的nums元素的 和 （即，nums[left] + nums[left + 1], ..., nums[right]）
  示例 1：
输入：
[""NumArray"", ""sumRange"", ""update"", ""sumRange""]
[[[1, 3, 5]], [0, 2], [1, 2], [0, 2]]
输出：
[null, 9, null, 8]

解释：
NumArray numArray = new NumArray([1, 3, 5]);
numArray.sumRange(0, 2); // 返回 1 + 3 + 5 = 9
numArray.update(1, 2);   // nums = [1,2,5]
numArray.sumRange(0, 2); // 返回 1 + 2 + 5 = 8
  提示：
1 <= nums.length <= 3 * 104
-100 <= nums[i] <= 100
0 <= index < nums.length
-100 <= val <= 100
0 <= left <= right < nums.length
调用 update 和 sumRange 方法次数不大于 3 * 104 ",503,,52294,"['https://leetcode.cn/tag/design/', 'https://leetcode.cn/tag/binary-indexed-tree/', 'https://leetcode.cn/tag/segment-tree/', 'https://leetcode.cn/tag/array/']","['https://leetcode.cn/problems/range-sum-query-immutable/', 'https://leetcode.cn/problems/range-sum-query-2d-mutable/']",103093
评论 (34),range-sum-query-2d-mutable,Unknown,,-1,,-1,[],[],-1
评论 (908),best-time-to-buy-and-sell-stock-with-cooldown,中等,"给定一个整数数组prices，其中第  prices[i] 表示第 i 天的股票价格 。
设计一个算法计算出最大利润。在满足以下约束条件下，你可以尽可能地完成更多的交易（多次买卖一支股票）:
卖出股票后，你无法在第二天买入股票 (即冷冻期为 1 天)。
注意：你不能同时参与多笔交易（你必须在再次购买前出售掉之前的股票）。
  示例 1:
输入: prices = [1,2,3,0,2]
输出: 3 
解释: 对应的交易状态为: [买入, 卖出, 冷冻期, 买入, 卖出]
示例 2:
输入: prices = [1]
输出: 0
  提示：
1 <= prices.length <= 5000
0 <= prices[i] <= 1000",1215,,176260,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/dynamic-programming/']","['https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/', 'https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/']",279968
评论 (351),minimum-height-trees,中等,"树是一个无向图，其中任何两个顶点只通过一条路径连接。 换句话说，一个任何没有简单环路的连通图都是一棵树。
给你一棵包含 n 个节点的树，标记为 0 到 n - 1 。给定数字 n 和一个有 n - 1 条无向边的 edges 列表（每一个边都是一对标签），其中 edges[i] = [ai, bi] 表示树中节点 ai 和 bi 之间存在一条无向边。
可选择树中任何一个节点作为根。当选择节点 x 作为根节点时，设结果树的高度为 h 。在所有可能的树中，具有最小高度的树（即，min(h)）被称为 最小高度树 。
请你找到所有的 最小高度树 并按 任意顺序 返回它们的根节点标签列表。
树的 高度 是指根节点和叶子节点之间最长向下路径上边的数量。
  示例 1：
输入：n = 4, edges = [[1,0],[1,2],[1,3]]
输出：[1]
解释：如图所示，当根是标签为 1 的节点时，树的高度是 1 ，这是唯一的最小高度树。
示例 2：
输入：n = 6, edges = [[3,0],[3,1],[3,2],[3,4],[5,4]]
输出：[3,4]
  提示：
1 <= n <= 2 * 104
edges.length == n - 1
0 <= ai, bi < n
ai != bi
所有 (ai, bi) 互不相同
给定的输入 保证 是一棵树，并且 不会有重复的边",648,https://assets.leetcode.com/uploads/2020/09/01/e1.jpg,48591,"['https://leetcode.cn/tag/depth-first-search/', 'https://leetcode.cn/tag/breadth-first-search/', 'https://leetcode.cn/tag/graph/', 'https://leetcode.cn/tag/topological-sort/']","['https://leetcode.cn/problems/course-schedule/', 'https://leetcode.cn/problems/course-schedule-ii/']",112468
评论 (47),sparse-matrix-multiplication,Unknown,,-1,,-1,[],[],-1
评论 (344),burst-balloons,困难,"有 n 个气球，编号为0 到 n - 1，每个气球上都标有一个数字，这些数字存在数组 nums 中。
现在要求你戳破所有的气球。戳破第 i 个气球，你可以获得 nums[i - 1] * nums[i] * nums[i + 1] 枚硬币。 这里的 i - 1 和 i + 1 代表和 i 相邻的两个气球的序号。如果 i - 1或 i + 1 超出了数组的边界，那么就当它是一个数字为 1 的气球。
求所能获得硬币的最大数量。
  示例 1：
输入：nums = [3,1,5,8]
输出：167
解释：
nums = [3,1,5,8] --> [3,5,8] --> [3,8] --> [8] --> []
coins =  3*1*5    +   3*5*8   +  1*3*8  + 1*8*1 = 167
示例 2：
输入：nums = [1,5]
输出：10
  提示：
n == nums.length
1 <= n <= 300
0 <= nums[i] <= 100",998,,75280,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/dynamic-programming/']",['https://leetcode.cn/problems/minimum-cost-to-merge-stones/'],108681
